country,name,alpha_two_code,state_province,domain,web_page,updated_at
Russian Federation,Immanuel Kant State University of Russia,RU,,kantiana.ru,http://www.kantiana.ru/,2025-07-03T11:14:44.000864
Russian Federation,Herzen State Pedagogical University of Russia,RU,,"herzen.edu.ru, herzen.spb.ru",http://www.herzen.spb.ru/,2025-07-03T11:14:44.000892
Russian Federation,Moscow State Institute of International Relations MFA Russia (MGIMO-University),RU,,mgimo.ru,http://www.mgimo.ru/,2025-07-03T11:14:44.000900
Russian Federation,People' s Friendship University of Russia,RU,,pfu.edu.ru,http://www.pfu.edu.ru/,2025-07-03T11:14:44.000908
Armenia,Russian-Armenian (Slavonic) State University,AM,,rau.am,http://www.rau.am/,2025-07-03T11:14:44.000926
Russian Federation,Russian Academy of Arts,RU,,rah.ru,http://www.rah.ru/,2025-07-03T11:14:44.000934
Russian Federation,Russian Academy of Theatre Arts,RU,,gitis.net,http://www.gitis.net/,2025-07-03T11:14:44.000942
Russian Federation,"Russian Customs Academy, Vladivostok Branch",RU,,vfrta.ru,http://www.vfrta.ru/,2025-07-03T11:14:44.000953
Russian Federation,Russian State Hydrometeorological University,RU,,rshu.ru,http://www.rshu.ru/,2025-07-03T11:14:44.000961
Russian Federation,Russian State University for the Humanities,RU,,rsuh.ru,http://www.rsuh.ru/,2025-07-03T11:14:44.000969
Russian Federation,Russian State Medical University,RU,,rsmu.ru,http://www.rsmu.ru/,2025-07-03T11:14:44.000976
Russian Federation,Russian State Geological Prospecting University,RU,,mgri-rggru.ru,http://www.mgri-rggru.ru/,2025-07-03T11:14:44.000983
Kyrgyzstan,Kyrgyz Russian Slavic University,KG,,krsu.edu.kg,http://www.krsu.edu.kg/,2025-07-03T11:14:44.000990
Russian Federation,Gnesins Russian Academy of Music,RU,,gnesin-academy.ru,http://www.gnesin-academy.ru/,2025-07-03T11:14:44.000996
Russian Federation,Vaganova Academy of Russian Ballet,RU,,kirovballet.com,http://www.kirovballet.com/vaganova.html,2025-07-03T11:14:44.001003
Russian Federation,Gubkin Russian State University of Oil and Gas,RU,,gubkin.ru,http://www.gubkin.ru/,2025-07-03T11:14:44.001010
Russian Federation,Mendeleev Russian University of Chemical Technology,RU,,muctr.edu.ru,http://www.muctr.edu.ru/,2025-07-03T11:14:44.001017
Russian Federation,Plekhanov Russian Academy of Economics,RU,,rea.ru,http://www.rea.ru/,2025-07-03T11:14:44.001024
Belarus,Academy of Public Administration of Belarus,BY,,pac.by,https://www.pac.by/,2025-07-03T11:14:44.343479
Belarus,Academy of the Ministry of Internal Affairs of the Republic of Belarus,BY,,academy.mia.by,https://www.amia.by/,2025-07-03T11:14:44.343504
Belarus,Belarusian-Russian University,BY,,bru.mogilev.by,http://en.bru.by/,2025-07-03T11:14:44.343511
Belarus,Belarusian State University,BY,,bsu.by,https://bsu.by/,2025-07-03T11:14:44.343517
Belarus,Belarusian State University of Culture and Arts,BY,,buk.by,https://www.buk.by/,2025-07-03T11:14:44.343523
Belarus,Belarusian State University of Transport,BY,,belsut.gomel.by,https://www.bsut.by/,2025-07-03T11:14:44.343530
Belarus,Belarusian State University of Informatics and Radioelectronics,BY,,bsuir.by,https://www.bsuir.by/,2025-07-03T11:14:44.343536
Belarus,Belarusian State Economic University,BY,,bseu.by,http://bseu.by/,2025-07-03T11:14:44.343542
Belarus,Belarusian State Medical University,BY,,bsmu.by,https://bsmu.by/,2025-07-03T11:14:44.343548
Belarus,Belarusian State Technological University,BY,,bstu.unibel.by,https://belstu.by/,2025-07-03T11:14:44.343554
Belarus,Belarusian State Academy of Music,BY,,bgam.edu.by,https://bgam.by/,2025-07-03T11:14:44.343560
Belarus,Belarusian State Agrarian Technical University,BY,,batu.edu.by,https://www.bsatu.by/,2025-07-03T11:14:44.343566
Belarus,Belarusian State Agricultural Academy,BY,,baa.by,https://baa.by/,2025-07-03T11:14:44.343571
Belarus,Belarusian State Pedagogical University M. Tanka,BY,,bspu.unibel.by,https://bspu.by/,2025-07-03T11:14:44.343577
Belarus,Belarusian National Technical University,BY,,bntu.by,https://bntu.by/,2025-07-03T11:14:44.343583
Kazakhstan,"Kazakhstan Institute of Management, Economics, and Strategic Research",KZ,,kimep.kz,http://www.kimep.kz/,2025-07-03T11:14:44.684858
Kazakhstan,North Kazakhstan State University,KZ,,nkzu.kz,http://www.nkzu.kz/,2025-07-03T11:14:44.684882
Kazakhstan,Western Kazakhstan Agricultural University,KZ,,wkau.kz,http://www.wkau.kz/,2025-07-03T11:14:44.684889
Kazakhstan,East Kazakhstan State University,KZ,,vkgu.kz,http://www.vkgu.kz/,2025-07-03T11:14:44.684895
Kyrgyzstan,Jalalabad State University Kyrgyzstan,KG,,jasu.edu.kg,http://www.jasu.edu.kg/,2025-07-03T11:14:45.028253
Kyrgyzstan,International University of Kyrgyzstan,KG,,iuk.kg,http://www.iuk.kg/,2025-07-03T11:14:45.028278
